?trait_id	?trait_name	?mapped_trait_ids	?mapped_trait_names
"PPO:0002352"	"fresh megasporangiate strobilus present"	"PPO:0002352|PPO:0002351|PPO:0002346|PPO:0002324|PPO:0002323|PPO:0002300"	"fresh megasporangiate strobilus present|megasporangiate strobilus present|strobilus present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002353"	"ripening megasporangiate strobilus present"	"PPO:0002353|PPO:0002352|PPO:0002351|PPO:0002346|PPO:0002324|PPO:0002323|PPO:0002300"	"ripening megasporangiate strobilus present|fresh megasporangiate strobilus present|megasporangiate strobilus present|strobilus present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002354"	"unripe megasporangiate strobilus present"	"PPO:0002354|PPO:0002353|PPO:0002352|PPO:0002351|PPO:0002346|PPO:0002324|PPO:0002323|PPO:0002300"	"unripe megasporangiate strobilus present|ripening megasporangiate strobilus present|fresh megasporangiate strobilus present|megasporangiate strobilus present|strobilus present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002355"	"ripe megasporangiate strobilus present"	"PPO:0002355|PPO:0002353|PPO:0002352|PPO:0002351|PPO:0002346|PPO:0002324|PPO:0002323|PPO:0002300"	"ripe megasporangiate strobilus present|ripening megasporangiate strobilus present|fresh megasporangiate strobilus present|megasporangiate strobilus present|strobilus present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002356"	"abscised plant structure present"	"PPO:0002356"	"abscised plant structure present"
"PPO:0002357"	"abscised leaf present"	"PPO:0002357"	"abscised leaf present"
"PPO:0002358"	"abscised fruit or seed present"	"PPO:0002358"	"abscised fruit or seed present"
"PPO:0002359"	"abscised megasporangiate strobilus present"	"PPO:0002359"	"abscised megasporangiate strobilus present"
"PPO:0002360"	"non-vascular leaf present"	"PPO:0002360|PPO:0002300"	"non-vascular leaf present|plant structure present"
"PPO:0002361"	"open pistillate flower present"	"PPO:0002361|PPO:0002366|PPO:0002331|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300|PPO:0002333"	"open pistillate flower present|non-senesced pistillate flower present|non-senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present|open flower present"
"PPO:0002362"	"open staminate flower present"	"PPO:0002362|PPO:0002333|PPO:0002331|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300|PPO:0002365"	"open staminate flower present|open flower present|non-senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present|non-senesced staminate flower present"
"PPO:0002363"	"unopened staminate flower present"	"PPO:0002363|PPO:0002365|PPO:0002331|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300|PPO:0002332"	"unopened staminate flower present|non-senesced staminate flower present|non-senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present|unopened flower present"
"PPO:0002364"	"unopened pistillate flower present"	"PPO:0002364|PPO:0002366|PPO:0002331|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300|PPO:0002332"	"unopened pistillate flower present|non-senesced pistillate flower present|non-senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present|unopened flower present"
"PPO:0002365"	"non-senesced staminate flower present"	"PPO:0002365|PPO:0002331|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300"	"non-senesced staminate flower present|non-senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002366"	"non-senesced pistillate flower present"	"PPO:0002366|PPO:0002331|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300"	"non-senesced pistillate flower present|non-senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002367"	"senesced staminate flower present"	"PPO:0002367|PPO:0002335|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300"	"senesced staminate flower present|senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002368"	"senesced pistillate flower present"	"PPO:0002368|PPO:0002335|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300"	"senesced pistillate flower present|senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present"
"PPO:0002369"	"pollen-releasing staminate flower present"	"PPO:0002369|PPO:0002334|PPO:0002333|PPO:0002331|PPO:0002330|PPO:0002324|PPO:0002323|PPO:0002300|PPO:0002362|PPO:0002365"	"pollen-releasing staminate flower present|pollen-releasing flower present|open flower present|non-senesced flower present|flower present|reproductive shoot system present|reproductive structure present|plant structure present|open staminate flower present|non-senesced staminate flower present"
"PPO:0002600"	"new shoot system absent"	"PPO:0002600"	"new shoot system absent"
"PPO:0002601"	"new above-ground shoot-borne shoot system absent"	"PPO:0002601"	"new above-ground shoot-borne shoot system absent"
"PPO:0002602"	"new shoot system emerging from ground absent"	"PPO:0002602"	"new shoot system emerging from ground absent"
"PPO:0002603"	"new shoot system emerging from ground in first growth cycle absent"	"PPO:0002603"	"new shoot system emerging from ground in first growth cycle absent"
"PPO:0002604"	"seedling absent"	"PPO:0002604"	"seedling absent"
"PPO:0002605"	"new shoot system emerging from ground in later growth cycle absent"	"PPO:0002605"	"new shoot system emerging from ground in later growth cycle absent"
"PPO:0002606"	"vegetative bud absent"	"PPO:0002606"	"vegetative bud absent"
"PPO:0002607"	"dormant vegetative bud absent"	"PPO:0002607"	"dormant vegetative bud absent"
"PPO:0002608"	"non-dormant vegetative bud absent"	"PPO:0002608"	"non-dormant vegetative bud absent"
"PPO:0002609"	"swelling vegetative bud absent"	"PPO:0002609"	"swelling vegetative bud absent"
"PPO:0002610"	"breaking vegetative bud absent"	"PPO:0002610"	"breaking vegetative bud absent"
"PPO:0002611"	"vascular leaf absent"	"PPO:0002611"	"vascular leaf absent"
"PPO:0002612"	"true leaf absent"	"PPO:0002612"	"true leaf absent"
"PPO:0002613"	"unfolding true leaf absent"	"PPO:0002613"	"unfolding true leaf absent"
"PPO:0002614"	"unfolded true leaf absent"	"PPO:0002614"	"unfolded true leaf absent"
"PPO:0002615"	"non-senescing unfolded true leaf absent"	"PPO:0002615"	"non-senescing unfolded true leaf absent"
"PPO:0002616"	"senescing true leaf absent"	"PPO:0002616"	"senescing true leaf absent"
"PPO:0002617"	"immature unfolded true leaf absent"	"PPO:0002617"	"immature unfolded true leaf absent"
"PPO:0002618"	"mature true leaf absent"	"PPO:0002618"	"mature true leaf absent"
"PPO:0002619"	"expanding unfolded true leaf absent"	"PPO:0002619"	"expanding unfolded true leaf absent"
"PPO:0002620"	"expanded immature true leaf absent"	"PPO:0002620"	"expanded immature true leaf absent"
"PPO:0002621"	"expanding true leaf absent"	"PPO:0002621"	"expanding true leaf absent"
"PPO:0002622"	"reproductive structure absent"	"PPO:0002622"	"reproductive structure absent"
"PPO:0002623"	"reproductive shoot system absent"	"PPO:0002623"	"reproductive shoot system absent"
"PPO:0002624"	"non-senesced reproductive shoot system absent"	"PPO:0002624"	"non-senesced reproductive shoot system absent"
"PPO:0002625"	"unopened reproductive shoot system absent"	"PPO:0002625"	"unopened reproductive shoot system absent"
"PPO:0002626"	"open reproductive shoot system absent"	"PPO:0002626"	"open reproductive shoot system absent"
"PPO:0002627"	"pollen-releasing reproductive shoot system absent"	"PPO:0002627"	"pollen-releasing reproductive shoot system absent"
"PPO:0002628"	"senesced reproductive shoot system absent"	"PPO:0002628"	"senesced reproductive shoot system absent"
"PPO:0002629"	"flower absent"	"PPO:0002629"	"flower absent"
"PPO:0002630"	"non-senesced flower absent"	"PPO:0002630"	"non-senesced flower absent"
"PPO:0002631"	"unopened flower absent"	"PPO:0002631"	"unopened flower absent"
"PPO:0002632"	"open flower absent"	"PPO:0002632"	"open flower absent"
"PPO:0002633"	"pollen-releasing flower absent"	"PPO:0002633"	"pollen-releasing flower absent"
"PPO:0002634"	"senesced flower absent"	"PPO:0002634"	"senesced flower absent"
"PPO:0002635"	"inflorescence absent"	"PPO:0002635"	"inflorescence absent"
"PPO:0002636"	"non-senesced inflorescence absent"	"PPO:0002636"	"non-senesced inflorescence absent"
"PPO:0002637"	"unopened inflorescence absent"	"PPO:0002637"	"unopened inflorescence absent"
"PPO:0002638"	"open inflorescence absent"	"PPO:0002638"	"open inflorescence absent"
"PPO:0002639"	"pollen-releasing inflorescence absent"	"PPO:0002639"	"pollen-releasing inflorescence absent"
"PPO:0002640"	"senesced inflorescence absent"	"PPO:0002640"	"senesced inflorescence absent"
"PPO:0002641"	"simple fruit or compound fruit absent"	"PPO:0002641"	"simple fruit or compound fruit absent"
"PPO:0002642"	"ripening fruit absent"	"PPO:0002642"	"ripening fruit absent"
"PPO:0002643"	"unripe fruit absent"	"PPO:0002643"	"unripe fruit absent"
"PPO:0002644"	"ripe fruit absent"	"PPO:0002644"	"ripe fruit absent"
"PPO:0002645"	"strobilus absent"	"PPO:0002645"	"strobilus absent"
"PPO:0002646"	"microsporangiate strobilus absent"	"PPO:0002646"	"microsporangiate strobilus absent"
"PPO:0002647"	"fresh microsporangiate strobilus absent"	"PPO:0002647"	"fresh microsporangiate strobilus absent"
"PPO:0002648"	"open microsporangiate strobilus absent"	"PPO:0002648"	"open microsporangiate strobilus absent"
"PPO:0002649"	"pollen-releasing microsporangiate strobilus absent"	"PPO:0002649"	"pollen-releasing microsporangiate strobilus absent"
"PPO:0002650"	"megasporangiate strobilus absent"	"PPO:0002650"	"megasporangiate strobilus absent"
"PPO:0002651"	"fresh megasporangiate strobilus absent"	"PPO:0002651"	"fresh megasporangiate strobilus absent"
"PPO:0002652"	"ripening megasporangiate strobilus absent"	"PPO:0002652"	"ripening megasporangiate strobilus absent"
"PPO:0002653"	"unripe megasporangiate strobilus absent"	"PPO:0002653"	"unripe megasporangiate strobilus absent"
"PPO:0002654"	"ripe megasporangiate strobilus absent"	"PPO:0002654"	"ripe megasporangiate strobilus absent"
"PPO:0002655"	"abscised plant structure absent"	"PPO:0002655"	"abscised plant structure absent"
"PPO:0002656"	"abscised leaf absent"	"PPO:0002656"	"abscised leaf absent"
"PPO:0002657"	"abscised fruit or seed absent"	"PPO:0002657"	"abscised fruit or seed absent"
"PPO:0002658"	"abscised megasporangiate strobilus absent"	"PPO:0002658"	"abscised megasporangiate strobilus absent"
"PPO:0002659"	"non-vascular leaf absent"	"PPO:0002659"	"non-vascular leaf absent"
"PPO:0002660"	"open pistillate flower absent"	"PPO:0002660"	"open pistillate flower absent"
"PPO:0002661"	"open staminate flower absent"	"PPO:0002661"	"open staminate flower absent"
"PPO:0002662"	"unopened staminate flower absent"	"PPO:0002662"	"unopened staminate flower absent"
"PPO:0002663"	"unopened pistillate flower absent"	"PPO:0002663"	"unopened pistillate flower absent"
"PPO:0002664"	"non-senesced staminate flower absent"	"PPO:0002664"	"non-senesced staminate flower absent"
"PPO:0002665"	"non-senesced pistillate flower absent"	"PPO:0002665"	"non-senesced pistillate flower absent"
"PPO:0002666"	"senesced staminate flower absent"	"PPO:0002666"	"senesced staminate flower absent"
"PPO:0002667"	"senesced pistillate flower absent"	"PPO:0002667"	"senesced pistillate flower absent"
"PPO:0002668"	"pollen-releasing staminate flower absent"	"PPO:0002668"	"pollen-releasing staminate flower absent"
