ID	Type	Label	Parent	Parent label	Text definition	Alternative label	Phenobase preferred label	Subclass of	Equivalent to	Disjoing axiom	Comments	Deprecated
PPO:0002359	class	abscised megasporangiate strobilus present	PPO:0002060	abscised megasporangiate strobilus presence	An abscised megasporangiate strobilus presence trait that is a quality of a whole plant from which at least one open megasporangiate strobilus has been abscised or removed by an herbivore or that has at least one open megasporangiate strobilus that has at least one mature seed that has abscised.	abscised cone or seed present	abscised megasporangiate strobilus or seed present		(PPO:0002002 that RO:0000080 some (PO:0000003 and (PPO:0000005 some (PPO:0001064 or PPO:0001024))) and PPO:0000009 some (PPO:0000005 some (PPO:0001064 or PPO:0001024)))		This only includes megasporangiate strobili or seeds that have recently abscised within the last growing season.	
PPO:0002655	class	abscised plant structure absent	PPO:0002002	abscised plant structure presence	An abscised plant structure presence trait that is a quality of a whole plant from which none of some plant structure have been abscised or removed.				(PPO:0002002 that RO:0000080 some (PO:0000003 and not (PPO:0000005 some PO:0009011)) and PPO:0000009 only (not (PPO:0000005 some PO:0009011)))	PPO:0002356	This only includes plant structures that have recently abscised within the last growing season.	
PPO:0002656	class	abscised leaf absent	PPO:0002058	abscised leaf presence	An abscised leaf presence trait that is a quality of a whole plant from which no true leaves have been abscised.				(PPO:0002002 that RO:0000080 some (PO:0000003 and not (PPO:0000005 some PPO:0001013)) and PPO:0000009 only (not (PPO:0000005 some PPO:0001013)))	PPO:0002357	This only includes leaves that have recently abscised within the last growing season.	
PPO:0002657	class	abscised fruit absent	PPO:0002059	abscised fruit presence	An abscised fruit presence trait that is a quality of a whole plant from which no ripe fruits have been abscised or removed by herbivores and that does not have any ripe fruits from which any mature seeds have abscised.		abscised fruit or seed absent		(PPO:0002002 that RO:0000080 some (PO:0000003 and not (PPO:0000005 some (PPO:0001045 or PPO:0001024))) and PPO:0000009 only (not (PPO:0000005 some (PPO:0001045 or PPO:0001024))))	PPO:0002358	This only includes fruits or seeds that have recently abscised within the last growing season.	
PPO:0002658	class	abscised megasporangiate strobilus absent	PPO:0002060	abscised megasporangiate strobilus presence	An abscised megasporangiate strobilus presence trait that is a quality of a whole plant from which no open megasporangiate strobili have been abscised or removed by herbivores and that does not have any open megasporangiate strobili from which any mature seeds have abscised.	abscised cone or seed absent	abscised megasporangiate strobilus or seed absent		(PPO:0002002 that RO:0000080 some (PO:0000003 and not (PPO:0000005 some (PPO:0001064 or PPO:0001024))) and PPO:0000009 only (not (PPO:0000005 some (PPO:0001064 or PPO:0001024))))	PPO:0002359	This only includes megasporangiate strobili or seeds that have recently abscised within the last growing season.	
PPO:0002055	class	ripening megasporangiate strobilus presence		plant structure presence	A plant structure presence that represents whether a ripening megasporangiate strobilus is present or absent on a whole plant.							TRUE
PPO:0002057	class	ripe megasporangiate strobilus presence		plant structure presence	A plant structure presence that represents whether a ripe megasporangiate strobilus is present or absent on a whole plant.							TRUE
PPO:0002353	class	ripening megasporangiate strobilus present		ripening megasporangiate strobilus presence	A ripening megasporangiate strobilus presence trait that is a quality of a whole plant that has at least one ripening megasporangiate strobilus as part							TRUE
PPO:0002355	class	ripe megasporangiate strobilus present		ripe megasporangiate strobilus presence	A ripe megasporangiate strobilus presence trait that is a quality of a whole plant that has at least one ripe megasporangiate strobilus as part							TRUE
PPO:0002652	class	ripening megasporangiate strobilus absent		ripening megasporangiate strobilus presence	A ripening megasporangiate strobilus presence trait that is a quality of a whole plant that does not have a ripening megasporangiate strobilus as part							TRUE
PPO:0002654	class	ripe megasporangiate strobilus absent		ripe megasporangiate strobilus presence	A ripe megasporangiate strobilus presence trait that is a quality of a whole plant that does not have a ripe megasporangiate strobilus as part							TRUE
PPO:0002045	class	ripening fruit presence		plant structure presence	A plant structure presence that represents whether a ripening fruit is present or absent on a whole plant.	presence of ripening fruit					The number of ripening fruit can be 0 or more.	TRUE
PPO:0002046	class	unripe fruit presence		plant structure presence	A plant structure presence that represents whether a unripe fruit is present or absent on a whole plant.	presence of unripe fruit					The number of unripe fruit can be 0 or more.	TRUE
PPO:0002343	class	ripening fruit present		ripening fruit presence	A ripening fruit presence trait that is a quality of a whole plant that has at least one ripening fruit as part							TRUE
PPO:0002344	class	unripe fruit present		unripe fruit presence	A unripe fruit presence trait that is a quality of a whole plant that has at least one unripe fruit as part							TRUE
PPO:0002642	class	ripening fruit absent		ripening fruit presence	A ripening fruit presence trait that is a quality of a whole plant that does not have a ripening fruit as part							TRUE
PPO:0002643	class	unripe fruit absent		unripe fruit presence	A unripe fruit presence trait that is a quality of a whole plant that does not have a unripe fruit as part							TRUE
RO:0000080	object property											
PPO:0000005	object property											
PPO:0000009	object property											
