ID	Type	Label	Parent	Parent label	Text definition	Subclass of	Equivalent to	Comments	Deprecated		Notes	Plant type
PPO:0007009	Class	unopened flower stage	PO:0007615	flower development stage	A flower development stage in which a flower has not yet opened.						"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007010	Class	open flower stage	PO:0007615	flower development stage	A flower development stage in which a flower has opened.						"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007011	Class	pollen-releasing flower stage	PPO:0007010	open flower stage	An open flower stage in which the anthers are releasing pollen.						"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007012	Class	fruit unripe stage	PO:0025502	fruit ripening stage	A fruit ripening stage in which the ripening fruit has not yet reached the fruit ripe stage.							
PPO:0007013	Class	fruit ripe stage	PO:0025502	fruit ripening stage	"A fruit ripening stage in which the ripening fruit has completed ripening to the taxon-specific point at which it is widely considered by botanical experts to have seeds that are developed enough to be ready for dispersal, or, in the case of agricultural crops, the point at which the fruit is considered palatable for human consumption."							
PPO:0007014	Class	strobilus development stage	PO:0025530	reproductive shoot system development stage	A reproductive shoot system development stage that has as primary participant a strobilus.						"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007020	Class	microsporangiate strobilus ripening stage	PPO:0007014	strobilus development stage	A strobilus development  that has as primary participant a microsporangiate strobilus (pollen cone).							
PPO:0007015	Class	open microsporangiate strobilus stage	PPO:0007020	microsporangiate strobilus ripening stage	A microsporangiate strobilus (pollen cone) ripening stage during the pollen cone is open.						"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007016	Class	pollen-releasing microsporangiate strobilus stage	PPO:0007015	open microsporangiate strobilus stage	A open microsporangiate strobilus (pollen cone) stage during the pollen cone is releasing pollen.						"This is provisional and should eventually be defined in the PO, not the PPO."	
PPO:0007017	Class	megasporangiate strobilus development stage	PPO:0007014	strobilus development stage	A strobilus (cone) development  that has as primary participant a megasporangiate strobilus (seed cone).							
PPO:0007018	Class	megasporangiate strobilus unopened stage	PPO:0007017	megasporangiate strobilus development stage	A megasporangiate strobilus (seed cone) development stage in which the seed cone has not yet reached the megasporangiate strobilus open stage.							
PPO:0007019	Class	megasporangiate strobilus ripe stage		megasporangiate strobilus development stage	A megasporangiate strobilus(seed cone) ripening stage in which the ripening seed cone has completed ripening to the taxon-specific point at which it is widely considered by botanical experts to have seeds that are developed enough to be ready for dispersal.				TRUE			
PPO:0007021	Class	flower bud breaking stage	PO:0007615	flower development stage	A flower development stage during which the flower participates in some bud burst stage.							
PPO:0007022	Class	inflorescence bud breaking stage	PO:0001083	inflorescence development stage	An inflorescence development stage during which the inflorescence participates in some bud burst stage.							
PPO:0007023	Class	megasporangiate strobilus open stage	PPO:0007017	megasporangiate strobilus development stage	"A megasporangiate strobilus (seed cone) development stage, beginning when the scales of a seed cone have opened for pollination and ending when the seeds have fully dehisced."							
PPO:0007024	Class	megasporangiate strobilus developing stage	PPO:0007023	megasporangiate strobilus open stage	A megasporangiate strobilus (seed cone) open stage in which a seed is developing after fertilization.							
PPO:0007025	Class	megasporangiate strobilus dehiscing stage	PPO:0007023	megasporangiate strobilus open stage	A megasporangiate strobilus (seed cone) open stage in which this year's seed cones are open and seeds are in the process of abscising or dropping.							
PPO:0007026	Class	megasporangiate strobilus dehisced stage	PPO:0007017	megasporangiate strobilus development stage	A megasporangiate strobilus (seed cone) development stage in which seeds from the previous year's cones have dehisced but a seed cone is still attached to the plant.							
OBI:0000293	object property	has specified input										
OBI:0000299	object property	has specified output										
